"SportName","Gender","PSAL.Program.Name","Season","League","Cost","Enrollment","Borough","DBN","PSAL.Code"
"BASEBALL BOYS JR. VARSITY","Boys","A. Philip Randolph Campus High School","S","PSAL",5522.5,1375,"Manhattan","06M540","06577"
"BASEBALL BOYS VARSITY","Boys","A. Philip Randolph Campus High School","S","PSAL",12672.16,1375,"Manhattan","06M540","06577"
"BASKETBALL BOYS JR. VARSITY","Boys","A. Philip Randolph Campus High School","W","PSAL",8662.79,1375,"Manhattan","06M540","06577"
"BASKETBALL BOYS VARSITY","Boys","A. Philip Randolph Campus High School","W","PSAL",14011.52,1375,"Manhattan","06M540","06577"
"BASKETBALL GIRLS JR. VARSITY","Girls","A. Philip Randolph Campus High School","W","PSAL",8768.04,1375,"Manhattan","06M540","06577"
"BASKETBALL GIRLS VARSITY","Girls","A. Philip Randolph Campus High School","W","PSAL",14033.29,1375,"Manhattan","06M540","06577"
"BOWLING BOYS VARSITY","Boys","A. Philip Randolph Campus High School","F","PSAL",5697.4,1375,"Manhattan","06M540","06577"
"FOOTBALL BOYS JR. VARSITY","Boys","A. Philip Randolph Campus High School","F","PSAL",11761.71,1375,"Manhattan","06M540","06577"
"FOOTBALL BOYS VARSITY","Boys","A. Philip Randolph Campus High School","F","PSAL",30931.65,1375,"Manhattan","06M540","06577"
"LACROSSE BOYS VARSITY","Boys","A. Philip Randolph Campus High School","S","PSAL",10482.77,1375,"Manhattan","06M540","06577"
"LACROSSE GIRLS VARSITY","Girls","A. Philip Randolph Campus High School","S","PSAL",10461.56,1375,"Manhattan","06M540","06577"
"OUTDOOR TRACK BOYS","Boys","A. Philip Randolph Campus High School","S","PSAL",8314,1375,"Manhattan","06M540","06577"
"OUTDOOR TRACK GIRLS","Girls","A. Philip Randolph Campus High School","S","PSAL",8302.65,1375,"Manhattan","06M540","06577"
"SOCCER BOYS VARSITY","Boys","A. Philip Randolph Campus High School","F","PSAL",9606.82,1375,"Manhattan","06M540","06577"
