"agency","hom17","hom16","rap17","rap16","rob17","rob16","agg17","agg16","non17","non16"
"Albuquerque PD",32,32,218,193,1310,847,1583,1825,59,40
"Atlanta PD",37,56,115,73,674,933,973,1032,234,194
"Aurora PD",18,10,178,201,351,287,549,472,33,21
"Austin PD",11,15,338,359,482,510,1128,1138,NA,NA
"Baltimore County PD",19,16,159,151,808,691,1573,1236,16,20
"Baltimore PD",170,137,158,143,2797,2425,2823,2413,312,318
"Boston PD",20,22,122,129,663,698,1281,1381,111,93
"Charlotte-Mecklenburg PD",47,22,165,138,983,911,1981,2078,124,179
"Chicago PD",328,324,804,819,5388,5164,7485,7504,1371,1597
"Cincinnati PD",33,33,136,132,593,574,402,349,168,158
"Cleveland PD",56,47,239,257,1446,1365,1302,1329,375,494
"Columbus PD",66,46,301,440,858,1065,712,722,168,162
"Dallas PD",83,83,425,381,2085,2150,2522,2160,210,171
"DeKalb County PD",41,45,56,68,624,753,466,401,NA,NA
"Denver PD",27,19,298,275,551,580,1502,1299,136,103
"Detroit PD",136,140,248,290,1248,1373,4095,4329,420,433
"El Paso PD",13,10,193,154,183,218,906,962,NA,NA
"Fairfax County PD",9,11,70,67,269,288,222,176,NA,NA
"Fort Worth PD",39,35,314,237,591,580,1411,1328,76,60
"Fresno PD",35,18,53,59,495,552,870,949,74,95
"Honolulu PD",15,9,194,181,440,378,558,597,54,56
"Houston PD",128,158,700,606,4951,4760,7089,6051,NA,NA
"Indianapolis Metro PD",58,62,349,428,1502,1970,1533,1704,194,234
"Jacksonville Sheriff’s Dept",64,57,169,220,740,768,1500,1408,166,166
"Kansas City PD",68,53,120,122,891,879,6612,6336,NA,NA
"Las Vegas Metropolitan PD",69,82,622,610,1621,1692,2228,1999,415,412
"Long Beach PD",11,16,93,109,618,540,833,744,NA,NA
"Los Angeles County Sheriff's Dept",79,110,382,399,2443,2202,4585,4371,NA,NA
"Los Angeles PD",141,135,1230,1178,5170,4948,8109,7962,452,444
"Louisville Metro PD",66,53,89,105,662,771,1445,1453,166,198
"Memphis PD",83,93,215,178,1565,1545,2937,2519,555,527
"Mesa PD",9,12,119,146,218,210,640,701,NA,NA
"Miami-Dade PD",48,36,245,206,719,685,2101,1970,119,118
"Milwaukee PD",55,55,239,258,1350,1551,2938,2652,272,267
"Minneapolis PD",17,13,259,214,870,799,1077,1069,110,140
"Montgomery Co PD",9,9,131,167,341,310,366,285,7,15
"Nashville PD",55,35,268,297,1040,872,2597,2489,167,108
"Nassau County PD",3,4,20,23,198,249,320,320,24,41
"New Orleans PD",96,68,201,257,377,409,398,325,226,153
"Newark PD",29,45,69,47,500,622,672,520,158,104
"Oakland PD",34,28,95,128,1318,1509,1383,1287,136,145
"Oklahoma City PD 2",35,30,115,120,270,272,778,834,NA,NA
"Omaha NE PD",14,12,196,119,260,248,932,792,43,53
"Orlando PD 3",14,67,65,70,284,288,254,265,NA,NA
"Philadelphia PD",156,122,585,634,2878,2896,3738,3722,446,465
"Phoenix PD 4",30,40,263,241,782,731,1625,1435,NA,NA
"Pittsburgh PD",26,30,52,52,403,441,562,626,189,234
"Prince George’s County PD",39,48,59,40,504,512,211,162,98,81
"Salt Lake City PD",2,4,117,106,277,267,408,367,NA,NA
"San Antonio PD",61,69,599,572,1179,1051,3580,3418,NA,NA
"San Diego PD",17,24,265,297,694,723,1539,1601,NA,NA
"San Francisco PD",34,26,185,163,1583,1497,1245,1302,74,84
"San Jose PD",15,25,299,220,604,583,998,1091,NA,NA
"Seattle PD",9,12,102,102,749,764,1165,1045,42,30
"St. Louis Metro PD",92,87,126,140,770,811,1886,1738,1197,980
"Suffolk County PD",13,12,29,56,197,254,394,435,29,24
"Tampa PD",19,12,52,43,204,258,659,658,75,124
"Tucson PD",20,11,263,221,694,537,1177,1219,NA,NA
"Tulsa PD",43,28,163,203,484,453,1364,1361,NA,NA
"Virginia Beach PD",11,8,85,101,144,132,133,135,NA,NA
"Washington DC (Metro PD)",55,63,156,154,1011,1515,939,1210,NA,NA
"Wichita PD",19,10,200,182,323,290,949,1055,45,61
